SPY,Open,High,Low,Close,Volume
2023-10-01,426.62,477.55,409.21,475.31,5135610072.0
2024-01-01,472.16,524.61,466.43,523.07,4562349323.0
2024-04-01,523.83,550.28,493.86,544.22,3631103601.0
2024-07-01,545.63,574.71,510.27,573.76,3325052701.0
2024-10-01,573.4,609.07,565.27,586.08,2928818199.0
2025-01-01,589.39,613.23,546.87,559.39,3353423934.0
